M_eV,omega_s,delta_phi_rad
0.01,4183635935320.0234,0.2753719195944154
0.01,4281332398719.396,0.2818024176300465
0.01,4381310274533.306,0.2883830809586644
0.01,4483622838411.906,0.29511741624726334
0.01,4588324610100.84,0.30200901205069036
0.01,4695471382493.421,0.3090615407238943
0.01,4805120251361.232,0.3162787603788297
0.01,4917329645779.026,0.3236645168870597
0.01,5032159359259.998,0.3312227459291174
0.01,5149670581618.343,0.33895747509173707
0.01,5269925931575.656,0.34687282601404684
0.01,5392989490128.87,0.3549730165838857
0.01,5518926834697.374,0.3632623631854081
0.01,5647805074067.546,0.37174528299917486
0.01,5779692884153.325,0.38042629635595654
0.01,5914660544591.758,0.38931002914549606
0.01,6052779976193.3545,0.3984012152815363
0.01,6194124779266.76,0.40770469922439545
0.01,6338770272838.487,0.4172254385624568
0.01,6486793534788.508,0.42696850665394126
0.01,6638273442923.075,0.4369390953303698
0.01,6793290717006.6875,0.4471425176631576
0.01,6951927961775.591,0.457584210794814
0.01,7114269710955.745,0.46826973883625783
0.01,7280402472308.576,0.4792047958317826
0.01,7450414773728.917,0.49039520879327814
0.01,7624397210419.138,0.5018469408052881
0.01,7802442493165.045,0.5135660942025879
0.01,7984645497739.078,0.5255589138219613
0.01,8171103315457.187,0.5378317903299152
0.01,8361915304916.334,0.5503912636281041
0.01,8557183144940.02,0.5632440263382666
0.01,8757010888760.518,0.5763969273685668
0.01,8961505019466.049,0.589856975563192
0.01,9170774506742.932,0.6036313434371897
0.01,9384930864942.72,0.6177273709985158
0.01,9604088212505.37,0.6321525696593382
0.01,9828363332770.01,0.6469146262386753
0.01,10057875736205.814,0.6620214070585058
0.01,10292747724096.098,0.6774809621355314
0.01,10533104453709.38,0.6933015294708157
0.01,10779074004992.736,0.709491539439619
0.01,11030787448822.15,0.7260596192837186
0.01,11288378916846.883,0.743014597708649
0.01,11551985672964.781,0.7603655095882913
0.01,11821748186466.7,0.7781216007793272
0.01,12097810206889.037,0.7962923330481227
0.01,12380318840613.992,0.8148873891126476
0.01,12669424629259.076,0.8339166778021673
0.01,12965281629896.69,0.8533903393373923
0.01,13268047497147.244,0.8733187507339436
0.01,13577883567189.275,0.8937125313320006
0.01,13894954943731.36,0.9145825484550748
0.01,14219430585991.646,0.9359399232009276
0.01,14551483398731.908,0.9577960363677193
0.01,14891290324394.117,0.9801625345185487
0.01,15239032437388.303,1.0030513361875932
0.01,15594895040582.832,1.026474638231213
0.01,15959067764047.309,1.0504449223273287
0.01,16331744666101.666,1.0749749616265913
0.01,16713124336724.857,1.1000778275588683
0.01,17103410003378.379,1.1257668967986718
0.01,17502809639301.049,1.1520558583932528
0.01,17911536074332.34,1.1789587210571233
0.01,18329807108324.375,1.2064898206369716
0.01,18757845627201.61,1.234663827750848
0.01,19195879721731.11,1.2634957556057662
0.01,19644142809066.266,1.2930009679978571
0.01,20102873757128.832,1.3231951874993424
0.01,20572317011895.527,1.3540945038366916
0.01,21052722727657.027,1.385715382464424
0.01,21544346900318.867,1.4180746733391332
0.01,22047451503814.766,1.4511896198983765
0.01,22562304629706.35,1.4850778682492947
0.01,23089180630041.926,1.5197574765717472
0.01,23628360263551.75,1.5552469247410599
0.01,24180130845257.18,1.5915651241754778
0.01,24744786399573.477,1.6287314279135763
0.01,25322627816988.0,1.6667656409270049
0.01,25913963014396.63,1.705688030674023
0.01,26519107099185.406,1.7455193378995508
0.01,27138382537142.797,1.7862807876873548
0.01,27772119324293.547,1.827994100770356
0.01,28420655162745.11,1.8706815051050547
0.01,29084335640640.45,1.9143657477162366
0.01,29763514416313.13,1.9590701068182825
0.01,30458553406742.777,2.0048184042195327
0.01,31169822980411.496,2.051635018016324
0.01,31897702154663.246,2.099544895583424
0.01,32642578797673.24,2.148573566867895
0.01,33404849835132.44,2.1987471579933167
0.01,34184921461759.273,2.2500924051817384
0.01,34983209357750.33,2.302636669000724
0.01,35800138910285.734,2.356407948943101
0.01,36636145440207.234,2.4114348983471814
0.01,37491674433988.93,2.4677468396653555
0.01,38367181781126.484,2.5253737800893292
0.01,39263134017068.4,2.584346427540155
0.01,40180008571820.91,2.6446962070317013
0.01,41118294024358.28,2.7064552774162443
0.01,42078490362973.984,2.76965654852109
0.01,43061109251711.65,2.834333698685382
0.01,44066674303017.77,2.900521192706427
0.01,45095721356761.53,2.968254300205113
0.01,46148798765769.44,3.037569114420141
0.01,47226467688029.54,3.108502571441254
0.01,48329302385717.516,3.1810924698914964
0.01,49457890531206.39,3.255377491069134
0.01,50612833520222.14,3.3313972195599333
0.01,51794746792312.02,3.4091921643307694
0.01,53004260158796.836,3.4888037803158367
