M_eV,dt_s,visibility
0.01,3.0812135887140085e-14,0.6261791601128239
0.01,3.189770215466325e-14,0.6159364998048757
0.01,3.302151484968175e-14,0.6055094398443585
0.01,3.4184921461759273e-14,0.5949009345271966
0.01,3.5389316954909845e-14,0.5841144305858971
0.01,3.663614544020723e-14,0.5731538885766092
0.01,3.7926901907322537e-14,0.5620238036640057
0.01,3.926313401706839e-14,0.5507292256145516
0.01,4.064644395709628e-14,0.5392757777932283
0.01,4.207849036297398e-14,0.5276696749432135
0.01,4.356099030694617e-14,0.5159177395127366
0.01,4.5095721356761535e-14,0.50402741627848
0.01,4.6684523707037945e-14,0.49200678500071354
0.01,4.8329302385717516e-14,0.4798645708322464
0.01,5.003202953825999e-14,0.4676101521914039
0.01,5.179474679231202e-14,0.45525356579910764
0.01,5.3619567705688055e-14,0.44280550857204554
0.01,5.550868030059811e-14,0.43027733605832597
0.01,5.746434968715974e-14,0.417681057099362
0.01,5.94889207793433e-14,0.40502932440246564
0.01,6.158482110660253e-14,0.3923354207133545
0.01,6.375456372456494e-14,0.37961324028681426
0.01,6.600075022827101e-14,0.3668772653678225
0.01,6.832607387157405e-14,0.3541425374149143
0.01,7.073332279644438e-14,0.3414246228229732
0.01,7.322538337604526e-14,0.32873957293451633
0.01,7.580524367559246e-14,0.3161038781671764
0.01,7.847599703514622e-14,0.3035344161309942
0.01,8.124084577862974e-14,0.29104839366250046
0.01,8.410310505352605e-14,0.27866328276356933
0.01,8.706620680585118e-14,0.2663967505018206
0.01,9.01337038951742e-14,0.2542665830056709
0.01,9.330927435461682e-14,0.24229060377088574
0.01,9.659672580093842e-14,0.23048658658609827
0.01,1e-13,0.21887216348155125
0.01,1.0352317759307377e-13,0.20746472820745265
0.01,1.0717048298967093e-13,0.19628133585445537
0.01,1.1094628943275241e-13,0.18533859933757493
0.01,1.1485512424239393e-13,0.1746525835744852
0.01,1.1890167424419897e-13,0.16423869829754367
0.01,1.2309079138896017e-13,0.15411159054385382
0.01,1.2742749857031322e-13,0.14428503796643113
0.01,1.3191699564735743e-13,0.13477184419940844
0.01,1.3656466567946068e-13,0.12558373758809738
0.01,1.4137608138073612e-13,0.11673127465741524
0.01,1.4635701180190797e-13,0.10822374973659493
0.01,1.5151342924760515e-13,0.10006911218072324
0.01,1.5685151643735508e-13,0.09227389262775368
0.01,1.6237767391887177e-13,0.08484313969998464
0.01,1.6809852774253655e-13,0.07778036849929082
0.01,1.740209374062485e-13,0.07108752215359602
0.01,1.8015200408020238e-13,0.06476494754663713
0.01,1.8649907912142943e-13,0.05881138620366699
0.01,1.9306977288832455e-13,0.053223981112412236
0.01,1.9987196386572526e-13,0.047998300032905325
0.01,2.0691380811147902e-13,0.043128375594153695
0.01,2.142037490358383e-13,0.03860676219372303
0.01,2.2175052752539295e-13,0.034424609413220106
0.01,2.295631924236905e-13,0.030571751344494753
0.01,2.3765111138110775e-13,0.02703681089560436
0.01,2.4602398208697776e-13,0.023807317820583585
0.01,2.5469184389745403e-13,0.020869838902126084
0.01,2.6366508987303554e-13,0.018210118421323584
0.01,2.7295447924020014e-13,0.01581322678372221
0.01,2.8257115029208324e-13,0.013663714946246281
0.01,2.9252663374366474e-13,0.011745772114487473
0.01,3.0283286655749455e-13,0.010043384063005718
0.01,3.135022062565112e-13,0.008540489379735195
0.01,3.245474457411326e-13,0.0072211309544930324
0.01,3.359818286283788e-13,0.006069600123864252
0.01,3.478190651314134e-13,0.0050705710506063085
